Ticker,Expiration,Spread Type,Short Leg ID,Short Strike,Short Premium,Long Leg ID,Long Strike,Long Premium,Net Credit,Max Loss,Risk:Reward
AAPL,2025-04-25,Bear Call Spread,381250,160.0,193.16000366210938,194047,162.5,192.0500030517578,1.11,1.39,0.8
AAPL,2025-05-23,Bear Call Spread,381663,275.0,193.16000366210938,194460,280.0,192.0500030517578,1.11,3.89,0.29
AAPL,2025-09-19,Bull Put Spread,382177,35.0,193.16000366210938,194974,40.0,192.0500030517578,1.11,3.89,0.29
AMZN,2025-04-25,Bear Call Spread,390488,140.0,167.32000732421875,203285,141.0,166.61500549316406,0.71,0.29,2.39
AMZN,2025-04-25,Bear Call Spread,390490,145.0,167.32000732421875,203287,146.0,166.61500549316406,0.71,0.29,2.39
AMZN,2025-05-02,Bear Call Spread,390624,150.0,167.32000732421875,203421,152.5,166.61500549316406,0.71,1.79,0.39
AMZN,2025-05-02,Bull Put Spread,390673,150.0,167.32000732421875,203470,152.5,166.61500549316406,0.71,1.79,0.39
ARKK,2025-05-16,Bear Call Spread,369725,58.0,44.439998626708984,276124,59.0,43.89500045776367,0.54,0.46,1.2
ARKK,2025-05-30,Bull Put Spread,90048,36.0,45.119998931884766,182685,38.0,44.54999923706055,0.57,1.43,0.4
ARKK,2025-06-20,Bear Call Spread,369952,67.0,44.439998626708984,276351,68.0,43.89500045776367,0.54,0.46,1.2
ARKK,2025-06-20,Bear Call Spread,369954,69.0,44.439998626708984,276353,70.0,43.89500045776367,0.54,0.46,1.2
ARKK,2025-06-20,Bear Call Spread,369955,70.0,44.439998626708984,276354,71.0,43.89500045776367,0.54,0.46,1.2
ARKK,2025-06-20,Bear Call Spread,369956,71.0,44.439998626708984,276355,72.0,43.89500045776367,0.54,0.46,1.2
ARKK,2025-07-18,Bear Call Spread,370049,68.0,44.439998626708984,276448,69.0,43.89500045776367,0.54,0.46,1.2
ARKK,2025-07-18,Bear Call Spread,370050,69.0,44.439998626708984,276449,70.0,43.89500045776367,0.54,0.46,1.2
BABA,2025-04-25,Bear Call Spread,415174,80.0,110.1500015258789,134433,83.0,108.87000274658203,1.28,1.72,0.74
BABA,2025-05-02,Bear Call Spread,415353,80.0,110.1500015258789,134611,85.0,108.87000274658203,1.28,3.72,0.34
BABA,2025-05-02,Bear Call Spread,415358,90.0,110.1500015258789,134616,93.0,108.87000274658203,1.28,1.72,0.74
BABA,2025-05-02,Bear Call Spread,415416,150.0,110.1500015258789,134674,152.5,108.87000274658203,1.28,1.22,1.05
BABA,2025-05-02,Bear Call Spread,415419,157.5,110.1500015258789,134677,160.0,108.87000274658203,1.28,1.22,1.05
BABA,2025-05-09,Bear Call Spread,415526,85.0,110.1500015258789,228323,88.0,108.0199966430664,2.13,0.87,2.45
BABA,2025-05-09,Bear Call Spread,415528,90.0,110.1500015258789,134784,95.0,108.87000274658203,1.28,3.72,0.34
BABA,2025-05-09,Bear Call Spread,415584,150.0,110.1500015258789,134839,152.5,108.87000274658203,1.28,1.22,1.05
BABA,2025-05-09,Bear Call Spread,415585,152.5,110.1500015258789,134840,155.0,108.87000274658203,1.28,1.22,1.05
BABA,2025-05-09,Bear Call Spread,415588,160.0,110.1500015258789,134843,165.0,108.87000274658203,1.28,3.72,0.34
BABA,2025-05-09,Bull Put Spread,415596,71.0,110.1500015258789,134852,74.0,108.87000274658203,1.28,1.72,0.74
BABA,2025-05-16,Bear Call Spread,415677,80.0,110.1500015258789,134932,85.0,108.87000274658203,1.28,3.72,0.34
